RGT,N_rows_winter,N_rows_summer,index,greenland_cell
460,116873,36559,geom_idx_1_RGT_460,1
544,107391,77639,geom_idx_1_RGT_544,1
521,95862,50574,geom_idx_1_RGT_521,1
41,68947,10932,geom_idx_1_RGT_41,1
681,148162,82325,geom_idx_2_RGT_681,2
658,145388,9776,geom_idx_2_RGT_658,2
94,135225,75514,geom_idx_2_RGT_94,2
422,133465,198,geom_idx_2_RGT_422,2
33,113257,101784,geom_idx_3_RGT_33,3
56,109744,106088,geom_idx_3_RGT_56,3
437,103590,17765,geom_idx_3_RGT_437,3
475,71502,109423,geom_idx_3_RGT_475,3
1290,152562,152052,geom_idx_4_RGT_1290,4
787,152420,34339,geom_idx_4_RGT_787,4
284,148999,126945,geom_idx_4_RGT_284,4
794,142902,125643,geom_idx_4_RGT_794,4
421,145755,103124,geom_idx_5_RGT_421,5
1366,134507,69385,geom_idx_5_RGT_1366,5
108,114447,53456,geom_idx_5_RGT_108,5
1373,113191,103279,geom_idx_5_RGT_1373,5
