RGT,date_summer,date_winter
2,2021-06-23,2020-12-24
10,2021-06-24,2020-12-24
11,2021-06-24,2020-12-24
17,2021-06-24,2020-12-25
18,2021-06-24,2020-12-25
25,2021-06-25,2020-12-25
26,2021-06-25,2020-12-25
32,2021-06-25,2020-12-26
33,2021-06-25,2020-12-26
40,2021-06-26,2020-12-26
41,2021-06-26,2020-12-26
47,2021-06-26,2020-12-27
48,2021-06-26,2020-12-27
55,2021-06-27,2020-12-27
56,2021-06-27,2020-12-27
63,2021-06-27,2020-12-28
71,2021-06-28,2020-12-28
72,2021-06-28,2020-12-28
78,2021-06-28,2020-12-29
79,2021-06-28,2020-12-29
86,2021-06-29,2020-12-29
87,2021-06-29,2020-12-29
93,2021-06-29,2020-12-30
94,2021-06-29,2020-12-30
101,2021-06-30,2020-12-30
102,2021-06-30,2020-12-30
108,2021-06-30,2020-12-31
109,2021-06-30,2020-12-31
116,2021-07-01,2020-12-31
117,2021-07-01,2020-12-31
124,2021-07-01,2021-01-01
132,2021-07-02,2021-01-01
133,2021-07-02,2021-01-01
139,2021-07-02,2021-01-02
140,2021-07-02,2021-01-02
147,2021-07-03,2021-01-02
148,2021-07-03,2021-01-02
154,2021-07-03,2021-01-03
155,2021-07-03,2021-01-03
162,2021-07-04,2021-01-03
163,2021-07-04,2021-01-03
169,2021-07-04,2021-01-04
170,2021-07-04,2021-01-04
177,2021-07-05,2021-01-04
178,2021-07-05,2021-01-04
184,2021-07-05,2021-01-05
185,2021-07-05,2021-01-05
193,2021-07-06,2021-01-05
200,2021-07-06,2021-01-06
201,2021-07-06,2021-01-06
208,2021-07-07,2021-01-06
209,2021-07-07,2021-01-06
215,2021-07-07,2021-01-07
216,2021-07-07,2021-01-07
223,2021-07-08,2021-01-07
224,2021-07-08,2021-01-07
230,2021-07-08,2021-01-08
231,2021-07-08,2021-01-08
238,2021-07-09,2021-01-08
239,2021-07-09,2021-01-08
245,2021-07-09,2021-01-09
246,2021-07-09,2021-01-09
261,2021-07-10,2021-01-10
262,2021-07-10,2021-01-10
269,2021-07-11,2021-01-10
270,2021-07-11,2021-01-10
276,2021-07-11,2021-01-11
277,2021-07-11,2021-01-11
284,2021-07-12,2021-01-11
285,2021-07-12,2021-01-11
291,2021-07-12,2021-01-12
306,2021-07-13,2021-01-13
307,2021-07-13,2021-01-13
315,2021-07-14,2021-01-13
322,2021-07-14,2021-01-14
330,2021-07-15,2021-01-14
331,2021-07-15,2021-01-14
337,2021-07-15,2021-01-15
338,2021-07-15,2021-01-15
345,2021-07-16,2021-01-15
346,2021-07-16,2021-01-15
352,2021-07-16,2021-01-16
360,2021-07-17,2021-01-16
361,2021-07-17,2021-01-16
367,2021-07-17,2021-01-17
368,2021-07-17,2021-01-17
376,2021-07-18,2021-01-17
383,2021-07-18,2021-01-18
391,2021-07-19,2021-01-18
392,2021-07-19,2021-01-18
398,2021-07-19,2021-01-19
399,2021-07-19,2021-01-19
406,2021-07-20,2021-01-19
407,2021-07-20,2021-01-19
413,2021-07-20,2021-01-20
414,2021-07-20,2021-01-20
421,2021-07-21,2021-01-20
422,2021-07-21,2021-01-20
428,2021-07-21,2021-01-21
429,2021-07-21,2021-01-21
437,2021-07-22,2021-01-21
444,2021-07-22,2021-01-22
452,2021-07-23,2021-01-22
453,2021-07-23,2021-01-22
459,2021-07-23,2021-01-23
460,2021-07-23,2021-01-23
467,2021-07-24,2021-01-23
468,2021-07-24,2021-01-23
474,2021-07-24,2021-01-24
475,2021-07-24,2021-01-24
482,2021-07-25,2021-01-24
483,2021-07-25,2021-01-24
489,2021-07-25,2021-01-25
490,2021-07-25,2021-01-25
497,2021-07-26,2021-01-25
498,2021-07-26,2021-01-25
505,2021-07-26,2021-01-26
513,2021-07-27,2021-01-26
514,2021-07-27,2021-01-26
520,2021-07-27,2021-01-27
521,2021-07-27,2021-01-27
528,2021-07-28,2021-01-27
529,2021-07-28,2021-01-27
535,2021-07-28,2021-01-28
536,2021-07-28,2021-01-28
543,2021-07-29,2021-01-28
